Well_ID,Cluster_ID,Rel_Elev,DEM_Elev,Latitude,Longitude,Logging_Start,Logging_End,Status,Stick_up,Casing_dia,Well_dia,Well_material,Filter_material,Screen_top,Screen_bottom,Max_depth,Slot_width,Slot_spacing,Pedon,DataFileName,Comments,Pedon_QGIS,Distance,Additional,Distance_2
42_2_s1,none,21.22,707.4,43.961789,-71.721955,3/28/2019,11/5/2020,I,138.4,5.1,7.62,Schedule 40 PVC,local sand,15.1,30.3,30.3,0.025,0.32,NA,42_2_s1.csv,,R9C4,3.7,,
42_3_s1,42_3_c1,14.52,701,43.961648,-71.721813,3/11/2019,11/5/2020,I,96.5,5.1,7.62,Schedule 40 PVC,local sand,14.8,45.3,45.3,0.025,0.32,NA,42_3_s1.csv,,R13C7,3.5,,
42_3_s2,42_3_c2,13.93,700.3,43.961597,-71.721804,3/11/2019,11/5/2020,I,87.1,5.1,7.62,Schedule 40 PVC,local sand,71.1,101.6,101.6,0.025,0.32,NA,42_3_s2.csv,,R12C5,0.4,,
42_3_s3,42_3_c3,14.4,700.8,43.961606,-71.721868,3/11/2019,11/5/2020,I,134.1,5.1,7.62,Schedule 40 PVC,local sand,23.6,54.1,54.1,0.025,0.32,NA,42_3_s3.csv,,R13C6,2.5,,
42_4_d1,NA,5.43,691.2,43.961301,-71.721578,3/28/2019,11/5/2020,I,138.2,5.1,15.24,PVC,#1 Holliston sand,624.8,685.8,685.8,0.25,0.32,NA,42_4_d1.csv,drilled well,NA,,,
42_4_d2,NA,5.29,691.4,43.961306,-71.721578,4/3/2019,11/5/2020,A,156.7,5.1,15.24,PVC,#1 Holliston sand,309.8,370.8,370.8,0.25,0.32,NA,42_4_d2.csv,drilled well,NA,,,
42_4_s1,42_4_c1,1.27,686.8,43.961144,-71.721504,3/11/2019,11/5/2020,I,99.1,5.1,7.62,Schedule 40 PVC,local sand,58.7,89.2,89.2,0.025,0.32,NA,42_4_s1.csv,,NA,,,
42_4_s2,42_4_c2,0,686,43.961123,-71.721502,3/11/2019,11/5/2020,I,119.4,5.1,7.62,Schedule 40 PVC,local sand,58.3,88.8,88.8,0.025,0.32,NA,42_4_s2.csv,,42_4_PFM,4.9,,
42_4_s3,42_4_c3,0.71,686.5,43.961132,-71.721516,3/11/2019,11/5/2020,I,83.8,5.1,7.62,Schedule 40 PVC,local sand,57,87.5,87.5,0.025,0.32,NA,42_4_s3.csv,,NA,,,
52_2_s1,NA,61.82,683.8,43.961951,-71.71992,3/28/2019,6/27/2020,I,85.1,3.8,7.62,Schedule 40 PVC,local sand,22.3,37.5,37.5,0.025,0.32,NA,52_2_s1.csv,,R488M50,4.7,,
52_3_s1,52_3_c1,6.68,679.4,43.961754,-71.719912,3/11/2019,11/5/2020,I,132.3,5.1,7.62,Schedule 40 PVC,local sand,25.7,56.2,56.2,0.025,0.32,NA,52_3_s1.csv,,R484M50,1.9,42_3_PFM,0.5
52_3_s2,52_3_c2,5.9,678.6,43.961734,-71.719873,3/11/2019,11/5/2020,I,99.8,5.1,7.62,Schedule 40 PVC,local sand,30.1,60.6,60.6,0.025,0.32,NA,52_3_s2.csv,,R484M50,2,,
52_3_s3,52_3_c3,5.91,678.4,43.96171,-71.719906,3/11/2019,11/5/2020,I,132.1,5.1,7.62,Schedule 40 PVC,local sand,25.2,53.3,53.3,0.025,0.32,NA,52_3_s3.csv,,R484M50,3.5,,
52_4_d1,NA,-0.97,671.3,43.961277,-71.719898,3/28/2019,6/27/2020,I,124.7,5.1,15.24,PVC,#1 Holliston sand,182.9,426.7,426.7,0.25,0.32,NA,52_4_d1.csv,drilled well,NA,,,
52_4_d2,NA,-99.99,663,43.960607,-71.720206,9/5/2019,9/29/2020,I,112,5.1,15.24,PVC,#1 Holliston sand,243.8,304.8,304.8,0.25,0.32,NA,52_4_d2.csv,drilled well,NA,,,
52_4_s1,52_4_c1,0.39,673.1,43.961442,-71.719916,3/11/2019,11/5/2020,I,140.5,5.1,7.62,Schedule 40 PVC,local sand,16.4,46.9,46.9,0.025,0.32,NA,52_4_s1.csv,,R478M20,2.5,,
52_4_s2,52_4_c2,0,672.4,43.96139,-71.719925,3/11/2019,11/5/2020,I,127.8,5.1,7.62,Schedule 40 PVC,local sand,30.8,61.3,61.3,0.025,0.32,NA,52_4_s2.csv,,R476M10,0.4,,
