"","sample","site","time","date","wellID","pH","notes","type","watertable","Ca","Mg","Na","K","T.hyphen.Al","Si","Mn.hyphen.MP","Mn","Fe.hyphen.MP","Fe","Zn.hyphen.MP","Rb.hyphen.MP","Sr.hyphen.MP","Ba.hyphen.MP","Pb.hyphen.MP","F","Cl","NO3","SO4","DOC","TDN","NH4","M.hyphen.Al","O.hyphen.Al","conductivity","PO4","Sr","Zn"
"1","W3-1","JD01","-99",2009-07-10,"JD01",5.44,NA,"G6",-99.9,0.91,0.26,1.44,0.06,0.05,2.8,0.105,NA,0.039,NA,0.275,3e-04,0.0063,0.008,0.0019,0.04,0.24,0,2.5,2.15,0.09,NA,NA,NA,NA,NA,NA,NA
"2","W3-10","JD13","-99",2009-07-10,"JD13",5.01,NA,"G6",-99.9,0.44,0.08,0.58,0.11,0.08,1.44,0.032,NA,0.017,NA,0.728,2e-04,0.0027,0.0278,0.0174,0.02,0.28,0,2.88,1.77,0.1,NA,NA,NA,NA,NA,NA,NA
"3","W3-11","JD14","-99",2009-07-10,"JD14",4.81,NA,"G4",-99.9,0.4,0.06,0.75,0.12,0.11,NA,0.033,NA,0.074,NA,0.784,5e-04,0.0037,0.0186,0.0101,0.04,0.27,0,2.67,2.84,0.17,NA,NA,NA,NA,NA,NA,NA
"4","W3-12","JD15","-99",2009-07-10,"JD15",5.69,NA,"G3",-99.9,0.3,0.04,0.59,0.06,0.06,1.53,0.015,NA,0.024,NA,4.355,5e-04,0.0027,0.0265,0.0289,0.02,0.21,0,2.5,2.79,0.19,NA,NA,NA,NA,NA,NA,NA
"5","W3-13","JD17","-99",2009-07-10,"JD17",4.7,NA,"G6",-99.9,0.61,0.15,0.71,0.07,0.52,2.14,0.009,NA,0.101,NA,0.24,3e-04,0.0056,0.0073,0.0095,0.06,0.31,0,3.06,4.88,0.13,NA,NA,NA,NA,NA,NA,NA
"6","W3-14","JD20","-99",2009-07-10,"JD20",5.06,NA,"G6",-99.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-100,NA,0.18,0.23,0,3,67.45,0.1,NA,NA,NA,NA,NA,NA,NA
"7","W3-147","W5F","-99",2009-07-10,NA,5.09,NA,"4",-99.9,0.89,0.19,1.22,0.39,0.02,NA,0.215,NA,0.054,NA,0.01,0.0014,0.0097,0.0087,4e-04,0.06,0.26,0,2.74,3.1,0.16,NA,NA,NA,NA,NA,NA,NA
"8","W3-15","JD23","-99",2009-07-10,"JD23",4.89,NA,"G6",-99.9,0.64,0.13,0.76,0.09,0.08,1.67,0.023,NA,0.011,NA,0.28,3e-04,0.0037,0.0165,0.004,0.02,0.25,0,2.73,1.53,0.07,NA,NA,NA,NA,NA,NA,NA
"9","W3-16","JD27","-99",2009-07-10,"JD27",5.55,NA,"G3",-99.9,0.82,0.26,1.33,0.09,0.08,3.67,0.12,NA,0.062,NA,1.298,7e-04,0.0058,0.0134,0.0104,0.09,0.38,0,3.28,2.98,0.13,NA,NA,NA,NA,NA,NA,NA
"10","W3-17","JD29","-99",2009-07-10,"JD29",4.84,NA,"G6",-99.9,0.61,0.12,0.72,0.05,0.11,1.63,0.012,NA,0.011,NA,0.024,2e-04,0.0035,0.0156,0.0023,0.08,0.34,0,2.62,1.5,0.07,NA,NA,NA,NA,NA,NA,NA
