"","Well_ID","pedon","pedon_distance","hpu","horizon","base_cm","chem_count"
"1","42_2_s1","R9C4",3.7,"E","O","8",5
"2","42_3_s1","R13C7",3.5,"Bhs","O","6",4
"3","42_3_s2","R12C5",0.4,"Bhs","O","5",NA
"4","42_3_s3","R13C6",2.5,"Bhs","O","6",NA
"5","42_4_d1",NA,NA,NA,NA,NA,14
"6","42_4_d2",NA,NA,NA,NA,NA,13
"7","42_4_s1",NA,NA,NA,NA,NA,3
"8","42_4_s2","42_4_PFM",4.9,"Bi","Oa","9",NA
"9","42_4_s3",NA,NA,NA,NA,NA,NA
"10","52_2_s1","R488M50",4.7,"Bhs","Oa","10",5
"11","52_3_s1","R484M50",1.9,"Bhs","Oa","16",9
"12","52_3_s2","R484M50",2,"Bhs","Oa","16",NA
"13","52_3_s3","R484M50",3.5,"Bhs","Oa","16",NA
"14","52_4_d1",NA,NA,NA,NA,NA,28
"15","52_4_d2",NA,NA,NA,NA,NA,14
"16","52_4_s1","R478M20",2.5,"Bhs","Oa","7",11
"17","52_4_s2","R476M10",0.4,"Bhs","Oa","8",NA
"18","52_4_s3","R476M0",3.9,"Bh","Oa","8",NA
"19","86_3_d1",NA,NA,NA,NA,NA,NA
"20","86_3_d2",NA,NA,NA,NA,NA,NA
"21","86_3_s1","R464C12",1.9,"T","Oa","9",7
"22","86_3_s2","R464C12",3.5,"T","Oa","9",NA
"23","86_3_s3",NA,NA,NA,NA,NA,NA
"24","86_4_s1","R460C10",2.6,"T","Oa","18",5
"25","86_4_s2","R460C10",2,"T","Oa","18",NA
"26","86_4_s3","R460C10",2.8,"T","Oa","18",NA
"27","A5","A5",NA,"Bhs","Oa2","20",24
"28","A6","A6",NA,"E","Oa2","15",20
"29","A7","A7",NA,"Bi","Oa","26",17
"30","D1","D1",NA,"Bh","Oa","9",34
"31","H4","H4",NA,"T","Oa","6",3
"32","I3","I3",NA,"Bi","Oa","4",8
"33","I6","I6",NA,"Bi","Oa","3",12
"34","I7","I7",NA,NA,NA,NA,16
"35","I8","I8",NA,NA,NA,NA,5
"36","I9","I9",NA,NA,NA,NA,11
"37","JD01",NA,NA,NA,NA,NA,1
"38","JD02","A1",NA,"Bh","Oa","16",1
"39","JD03","A2",NA,"T","Oie","3",9
"40","JD04","A4",NA,"T","Oa","5",NA
"41","JD05",NA,NA,NA,NA,NA,6
"42","JD06",NA,NA,NA,NA,NA,1
"43","JD07",NA,NA,NA,NA,NA,1
"44","JD08","R33",4.7,"Bh","Oa","14",1
"45","JD09",NA,NA,NA,NA,NA,NA
"46","JD10","R470M10",3.7,"Bhs","Oa","9",1
"47","JD11","G1",NA,"T","Oa","12",1
"48","JD12","R472M9.3",2.3,"Bhs","Oa","6",1
"49","JD13","R474M0",4.7,"Bh","Oa","10",1
"50","JD14","J1",NA,"Bi","Oa","3",13
"51","JD15",NA,NA,NA,NA,NA,1
"52","JD16","J3",2.5,"T","Oa","5",NA
"53","JD17","JD17",NA,NA,NA,NA,6
"54","JD18",NA,NA,NA,NA,NA,NA
"55","JD19",NA,NA,NA,NA,NA,NA
"56","JD20","H3",NA,"Bh","Oa","5",6
"57","JD21","H2",NA,"Bi","Oa2","14",13
"58","JD22","H1",NA,"T","Oa","6",NA
"59","JD23","B3",NA,"Bi","Oa","5",2
"60","JD24","B4",NA,"Bh","Oie","3",4
"61","JD25","B4",NA,"Bh","Oie","3",8
"62","JD26","B5",NA,"T","Oie","3",NA
"63","JD27","A3",NA,"T","Oa2","9",1
"64","JD28",NA,NA,NA,NA,NA,NA
"65","JD29",NA,NA,NA,NA,NA,3
"66","JD30",NA,NA,NA,NA,NA,6
"67","JD31",NA,NA,NA,NA,NA,1
"68","K1","K1S",NA,"Bh","Oa","7",1
"69","K10","K10",NA,"Bh","Oa","7",21
"70","K11","K11",NA,NA,NA,NA,5
"71","K12","K12",NA,"Bh","Oa2","9",5
"72","K1D","K1D",NA,NA,NA,NA,50
"73","K4D","K4D",NA,NA,NA,NA,3
"74","K4M","K4M",NA,NA,NA,NA,NA
"75","K4S","K4S",NA,"Bh","Oa","13",2
"76","K5","K5",NA,"T","Oa","7",15
"77","K6D",NA,NA,NA,NA,NA,8
"78","K6S",NA,NA,NA,NA,NA,31
"79","K7D",NA,NA,NA,NA,NA,8
"80","K7S",NA,NA,NA,NA,NA,18
"81","K8","K8",NA,"Bi","Oe","4",30
"82","K9","K9",NA,"T","Oa","8",6
"83","N1","N1",NA,"E","Oa2","9",26
"84","N1","N1",NA,"E","Oa2","9",26
"85","N2","N2",NA,"Bhs","Oa","5",24
"86","N3","N3",NA,"E","Oie","6",23
"87","N4","N4",NA,"Bhs","Oa","9",22
"88","N5","N5",NA,"Bhs",NA,NA,33
"89","O1","O1",NA,"Bhs","Oa","18",13
"90","O2","O2",NA,"E","Oa2","16",17
"91","P1","P1",NA,"E","Oa2","9",1
"92","P2","P2",NA,"Bhs","Oa2","10",3
"93","Q1","Q1",NA,"Bhs","Oa2","18",7
"94","Q2","Q2",NA,"Bhs","Oa2","13",8
"95","T1","T1",NA,"T","Oi","4",3
"96","U6bd",NA,NA,NA,NA,NA,NA
"97","U6cd",NA,NA,NA,NA,NA,NA
"98","U8",NA,NA,NA,NA,NA,NA
"99","V2","V2",NA,"Bhs",NA,NA,6
