Subwatershed,Site Name,Prefix,Horizon,Suffix,Top (cm),Bottom (cm),Horizon Depth (cm),Color,Hue,Value,Chroma,Total Depth,Bottom Interface,Notes,
86,R1C1,,Oi,,0,3,3,,,,,72,C,,
86,R1C1,,Oe,,3,8,5,,,,,72,C,,
86,R1C1,,Oa,,8,11.5,3.5,5YR 2.5/1,5YR,2.5,1,72,C,,
86,R1C1,,E,,11.5,15,3.5,10YR 6/2,10YR,6,2,72,C,,
86,R1C1,,Bhs,,15,21,6,5YR 2.5/1,5YR,2.5,1,72,C,,
86,R1C1,,Bs,,21,42,21,7.5YR 4/6,7.5YR,4,6,72,C,,
86,R1C1,,BC,,42,122.5,80.5,7.5YR 3/4,7.5YR,3,4,72,C,,
86,R1C1,,C,,122.5,-,,,,,,72,C,"Biscuit depth 38cm; This value was achieved by measuring material on the screw auger and 
adding it to the depth of the biscuit. The total depth was achieved by 
measuring the difference of the 111cm screw auger from the portion still
 exposed at the surface, or the screw auger would be marked at the total
 depth and measured when extracted. In any scenario where the bottom 
depth and total depth do no match, this is the answer",
86,R1C2,,Oi,,0,4,4,,,,,79,C,,
86,R1C2,,Oe,,4,10,6,,,,,79,C,,
86,R1C2,,Oa,,10,16,6,7.5YR 2.5/1,7.5YR,2.5,1,79,C,,
86,R1C2,,E,,16,20,4,7.5YR 5/2,7.5YR,5,2,79,C,,
86,R1C2,,Bhs,,20,23.5,3.5,7.5YR 2.5/1,7.5YR,2.5,1,79,C,,
86,R1C2,,Bs,,23.5,34,10.5,7.5YR 4/6,7.5YR,4,6,79,C,,
86,R1C2,,BC,,34,106.5,72.5,10YR 5/4,10YR,5,4,79,C,,
86,R1C2,,C,,106.5,-,,,,,,79,C,Biscuit depth ~34cm; 6cm into C,
86,R1C3,,Oi,,0,5,5,,,,,61,C,,
86,R1C3,,Oe,,5,13,8,,,,,61,C,,
86,R1C3,,Oa,,13,16,3,7.5YR 2.5/1,7.5YR,2.5,1,61,C,,
86,R1C3,,E,,16,20,4,10YR 5/1,10YR,5,1,61,C,,
86,R1C3,,Bhs,,20,28,8,7.5YR 2.5/1,7.5YR,2.5,1,61,C,,
86,R1C3,,Bs,,28,46,18,7.5YR 4/4,7.5YR,4,4,61,C,,
86,R1C3,,BC,,46,66,20,10YR 6/4,10YR,6,4,61,C,,
86,R1C3,,C,,66,-,,,,,,61,C,Biscuit depth (BD) 46cm; 5cm into C; bad BC sample,
86,R1C4,,Oi,,0,4,4,,,,,76,C,,
86,R1C4,,Oe,,4,9,5,,,,,76,C,,
86,R1C4,,Oa,,9,26,17,7.5YR 2.5/1,7.5YR,2.5,1,76,C,,
86,R1C4,,E,,26,30.5,4.5,7.5YR 7/1,7.5YR,7,1,76,C,,
86,R1C4,,Bhs,,30.5,35,4.5,7.5YR 5/1,7.5YR,5,1,76,C,,
86,R1C4,,Bs,,35,52.5,17.5,7.5YR 3/4,7.5YR,3,4,76,C,,
