"","pedon","horizon","top_cm","base_cm","major_color","minor_color","depl.","conc.","tex_mod","tex","structure","consistence","bound","frags","roots","C_pct","N_pct","LOI","pH_CaCl2","pH_KCl","acid_KCl","Al_KCl","Al_NH4Cl","Ca_NH4Cl","K_NH4Cl","Mg_NH4Cl","Mn_NH4Cl","Na_NH4Cl","Al_NH4OAc","Ca_NH4OAc","K_NH4OAc","Mg_NH4OAc","Mn_NH4OAc","Na_NH4OAc","P_NH4OAc","Fe_d","Mn_d","Al_o","Fe_o","ODOE","archive_g","notes"
"1","HB001","Oi",0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
"2","HB001","Oe",3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"3","HB001","A",5,7,"N2.5/",NA,NA,NA,NA,"fsl","1 f gr","fr","as",NA,NA,NA,NA,NA,3.97,NA,NA,NA,9.08,0.64,1.16,1.04,0.34,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","HB001","E",7,8,"5YR5/1","5YR5/2",NA,NA,NA,"fsl","2 m sbk","fr","as",NA,NA,NA,NA,2,3.16,NA,NA,NA,2.52,0.09,0.1,0.06,0.08,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,NA
"5","HB001","Bhs",8,38,"5YR3/3",NA,NA,NA,NA,"vfsl","12 f sbk","fr","ai",NA,NA,NA,NA,15.4,3.47,NA,NA,NA,11.4,0.16,0.33,0.24,0.38,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,NA
"6","HB001","R",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","HB002","Oi",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
"8","HB002","Oe",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA
"9","HB002","Oa",5,8,"N2.5/",NA,NA,NA,NA,NA,"1 f gr","fr","as",NA,NA,NA,NA,50.5,2.99,NA,NA,NA,2.86,5.09,0.74,0.82,2.24,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA
"10","HB002","Bhs",8,30,"7.5YR3/3",NA,NA,NA,NA,"fsl","1 mc sbk","fr","as",NA,NA,NA,NA,14.8,4.2,NA,NA,NA,5.54,0.07,0.09,0.04,0.1,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA
"11","HB002","BC",30,56,"10YR4/4",NA,NA,NA,NA,"fsl","2 mc sbk","fr","cw",NA,NA,NA,NA,12.2,4.15,NA,NA,NA,4.34,0.07,0.05,0.02,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,NA
"12","HB002","Cd",56,74,"2.5Y6/4",NA,"2.5Y6/4","7.5YR5/8",NA,"fsl","12 m pl","fi","as",NA,NA,NA,NA,10.3,4.16,NA,NA,NA,4.95,0.09,0.04,0.01,0.01,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA
"13","HB002","R",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","HB003","Oi",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"15","HB003","Oe",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA
