"","pedon","date","observer","project","hpu","easting","northing","pm","depthclass","notes"
"1","HB001",1996-10-02,"SWB","WS1lys","Bhs","281026.4","4870932.5","till","2",""
"2","HB002",1996-10-02,"SWB","WS1lys","Bhs","280964.2","4870896","till","3",""
"3","HB003",1996-10-03,"SWB","WS1lys","Bhs","281072.2","4870841.3","till","5",""
"4","HB004",1996-10-04,"SWB","WS1lys","T","281077.3","4870665.9","till","5",""
"5","HB005",1996-10-04,"SWB","WS1lys","T","281098.2","4870553.7","till","5",""
"6","HB006",1996-10-07,"SWB","WS1lys","T","281139","4870393.7","till","5",""
"7","HB007",1996-10-11,"SWB","WS1lys","T","281273.3","4870175.7","till","5",""
"8","HB008",1997-07-17,"SWB","SM","T","281729.7","4870390.7","till","5",""
"9","HB010",1997-09-15,"SWB","AdHoc","T","276232.6","4869852","glaciofluvial","5",""
"10","HB011",1997-08-28,"SWB","SM","T","281648.7","4869571.1","glaciofluvial","5",""
"11","HB012",1997-08-28,"SWB","SM","T","281787.4","4869735.8","till","5",""
"12","HB013",1997-09-15,"SWB","SM","T","281729.4","4871046.3","till","5",""
"13","HB014",1997-09-22,"SWB","WS6lys","Bhs","280049.9","4870485","till","3",""
"14","HB015",1997-09-22,"SWB","WS6lys","Bi","280243.6","4870018.5","till","5",""
"15","HB016",1997-09-22,"SWB","WS6lys","Bhs","280173.1","4870791.2","till","3",""
"16","HB017",1998-09-23,"SWB","SM","T","281859.2","4870472.1","till","5",""
"17","HB018",1998-09-25,"SWB","WS1lys","Bhs","281057.6","4870922.8","till","3",""
"18","HB019",1998-10-05,"SWB","WS1lys","Bi","281163.7","4870417.9","till","5",""
"19","HB020",1998-10-13,"SWB","WS1lys","T","281248.8","4870438.3","till","5",""
"20","HB021",1998-10-28,"SWB","WS1lys","Bi","281095.8","4870675.7","till","5",""
"21","HB022",1998-10-26,"SWB","WS1lys","Bhs","281114.8","4870851","till","5",""
"22","HB023",1998-10-26,"SWB","WS1lys","Bhs","281051.6","4870803.3","till","5",""
"23","HB024",1999-06-24,"SWB","AdHoc","T","277985.4","4867422.3","till","5",""
"24","HB025",1999-06-07,"SWB","SM","Bh","277304.8","4868245.8","till","5",""
"25","HB026",1997-09-15,"SWB","SM","Bh","281735.4","4871068.1","till","5",""
"26","HB027",1998-10-30,"SWB","WS6lys","Bi","280245","4870020","till","5","location is 2 m NE of HB015"
"27","HB029",2000-06-08,"SWB","VW","Bhs","281004.8","4869403.3","till","3",""
"28","HB030",2000-06-08,"SWB","VW","Bh","281006.8","4869301.5","till","5",""
"29","HB031",2000-06-09,"SWB","VW","Bh","279998","4868407.2","till","5",""
"30","HB032",2000-06-09,"SWB","VW","T","280003.7","4868492.4","till","5",""
"31","HB033",2000-06-13,"HMK","VW","Bh","277495.3","4868096.2","alluvium","5",""
"32","HB034",2000-06-19,"HMK","VW","Bi","280005.4","4869094.1","till","3",""
"33","HB035",2000-06-19,"HMK","VW","O","280000.8","4868994.1","organic","1",""
"34","HB036",2000-06-20,"HMK","VW","Bh","279500.6","4868396","till","5",""
"35","HB037",2000-06-20,"HMK","VW","T","279503.4","4868202.9","glaciolacustrine","5",""
"36","HB038",2000-06-21,"HMK","VW","Bh","279498.8","4868492.3","glaciofluvial","5",""
"37","HB039",2000-06-22,"HMK","VW","Bhs","279498.1","4868990.2","till","3",""
"38","HB040",2000-06-22,"HMK","VW","Bh","279505.6","4868795.5","till","5",""
"39","HB041",2000-06-27,"HMK","VW","O","279996.6","4866589.5","organic","1",""
"40","HB042",2000-06-28,"HMK","VW","T","280495.1","4866908.5","till","4",""
"41","HB043",2000-06-28,"HMK","VW","I","280498.2","4866991.4","till","4",""
"42","HB044",2000-06-29,"HMK","VW","Bi","280498","4867207.2","till","4",""
"43","HB045",2000-06-29,"HMK","VW","Bh","280502.5","4867292.4","till","4",""
"44","HB046",2000-07-05,"HMK","VW","Bh","278507.4","4869899","till","5",""
"45","HB047",2000-07-13,"HMK","VW","T","278493.8","4869595","till","3",""
"46","HB048",2000-07-13,"HMK","VW","T","278500","4869407.8","till","5",""
"47","HB049",2000-07-14,"HMK","VW","T","278505.5","4869107.1","till","5",""
"48","HB050",2000-08-21,"HMK","VW","T","277992.8","4870605.8","till","5",""
"49","HB051",2000-08-21,"HMK","VW","O","277996.3","4870297.1","organic","1",""
"50","HB052",2000-08-28,"HMK","VW","Bi","277998.3","4869905.9","till","5",""
"51","HB053",2000-08-28,"SWB","VW","Bhs","277998.9","4869299.3","till","3",""
"52","HB054",2000-08-29,"HMK","VW","Bhs","277992.8","4869099.2","till","3",""
"53","HB055",2000-08-29,"SWB","VW","T","277996.8","4869006.2","till","5",""
"54","HB056",2000-08-30,"HMK","VW","Bh","279527.2","4867447.7","till","4",""
"55","HB057",2000-08-31,"HMK","VW","Bhs","279495.2","4867904.3","till","4",""
"56","HB058",2000-08-31,"HMK","VW","Bhs","279493.5","4867800","till","4",""
"57","HB059",2000-09-01,"HMK","VW","Bh","278496.1","4867197.6","till","4",""
"58","HB060",2000-09-18,"HMK","VW","Bi","278494.1","4867307.5","till","4",""
"59","HB061",2000-09-18,"SWB","VW","T","278491.8","4867503.8","till","4",""
"60","HB062",2000-09-19,"HMK","VW","Bh","279491.4","4870297.4","till","5",""
"61","HB063",2000-09-19,"HMK","VW","Bh","279505.2","4870198.3","till","5",""
"62","HB064",2000-09-21,"HMK","VW","Bi","279498.6","4870003.9","till","4",""
"63","HB065",2000-09-21,"HMK","VW","Bh","278994","4869999.7","till","5",""
"64","HB066",2000-09-22,"HMK","VW","T","278989.5","4869905.8","till","4",""
"65","HB067",2000-09-22,"HMK","VW","T","278991.8","4869701.1","till","5",""
"66","HB068",2000-09-25,"HMK","VW","Bhs","278500.6","4870909","till","4",""
"67","HB069",2000-09-25,"HMK","VW","Bhs","279002.3","4870795","till","3",""
"68","HB070",2000-09-25,"HMK","VW","Bhs","279511.3","4870805.1","till","4",""
"69","HB071",2000-09-26,"HMK","VW","Bhs","280003.8","4870490.7","till","2",""
"70","HB072",2000-09-26,"HMK","VW","I","278995.5","4867604.7","till","5",""
"71","HB073",2000-09-27,"HMK","VW","I","279500.2","4869407","till","4",""
"72","HB074",2000-09-27,"HMK","VW","T","279992.6","4869401.3","till","5",""
"73","HB075",2000-09-28,"HMK","VW","Bhs","277993.9","4866395.3","till","3",""
"74","HB076",2000-09-28,"HMK","VW","T","278002.6","4866607.5","till","4",""
"75","HB077",2000-09-29,"HMK","VW","Bh","278001.6","4866708.1","till","4",""
"76","HB078",2000-10-03,"HMK","VW","Bh","278510.6","4867801.5","alluvium","4",""
"77","HB079",2000-10-27,"HMK","Freeze","T","281654.4","4869534.8","till","5",""
"78","HB080",2000-10-27,"HMK","Freeze","T","281664.6","4869522.1","till","5",""
"79","HB081",2000-10-27,"HMK","Freeze","T","281958.2","4869882.3","till","4",""
"80","HB082",2000-11-13,"HMK","Freeze","Bh","281983.4","4869895.2","till","4",""
"81","HB084",2001-04-26,"HMK","VW","T","282496","4869099.6","till","5",""
"82","HB085",2001-05-02,"HMK","VW","T","281508","4869999.6","till","5",""
"83","HB086",2001-05-03,"HMK","VW","T","281008.2","4868697.2","till","5",""
"84","HB087",2001-05-04,"HMK","VW","I","280506.3","4868696.1","till","4",""
"85","HB088",2001-05-07,"HMK","VW","T","280497.2","4868496.9","till","5",""
"86","HB089",2001-05-08,"HMK","VW","I","281501.3","4868791","alluvium","5",""
"87","HB090",2001-05-09,"HMK","VW","T","280492.1","4868193.8","glaciofluvial","5","Cemented horizon Bhsm very unusual for Typical podzol in valley bottom"
