"","pedon","date","observer","project","hpu","easting","northing","water_table","redox","vegetation","conditions","base","notes"
"1","42_1_PFM","2019-07-08","SAD","SAD Thesis","Lithic Histosol",281621.031,4871253.118,NA,NA,"Spruce, beech","Sunny, 70's, dry","R","In E podzol, but a good representation of R/O flow into area, should be able to delineate well"
"2","42_1_V1.1","2019-06-08","JAB","JAB Dissertation","Lithic Histosol",281611.746,4871245.68,NA,NA,NA,NA,"R",NA
"3","42_2_PFM","2019-06-17","SAD","AMP Dissertation","E podzol",281626.075,4871243.484,41,NA,"Spruce, yellow birch, beech","Sunny, 60's","R","Texture change between E1 & E2 -> increase in coarse frags/bedrock. Well #3 is on bedrock that slopes down into pit/uphill; strikes 163,35"
"4","42_2_V2.1","2018-09-07","JAB","JAB Dissertation","E podzol",281617.421,4871242.868,NA,NA,"Mixed beech-yellow birch-red spruce-balsam fir; some openings due to outcrops; outcrops in vicinity are either moss-covered or with O horizon",NA,"R","E horizon subdivided for sampling 26-32, 20-26, 14-20, 8-14; Oa very thin; very dry conditions - easy to collect clods, especially from upper E; one side of pit is next to dead beech snag; patch of upper E on this side is 7.5YR4/3"
"5","42_3_PFM","2019-06-17","JAB","AMP Dissertation","Bhs podzol",281632.761,4871213.626,NA,NA,"Mixed hardwood",NA,"C","O has spotty E patches in it"
"6","42_3_V3.1","2018-10-29","JAB","JAB Dissertation","Bhs podzol",281641.48,4871207.708,95,NA,"Mixed hardwood","Cloudy with scattered sun","C","Scattered black splotches in BC and C layers. Water at bottom of pit (~95cm). Formerly V2"
"7","42_3_V3.2","2019-10-03","JAB","JAB Dissertation","Bhs podzol",281613.74,4871216.75,NA,NA,"Mixed hardwood","Overcast","C/R","Every mineral horizon except A subsampled; Bs: 74-82, 82-90; Bhs3: 59-67, 67-74; Bhs2: 35-43, 43-51, 51-59; Bhs1: 13-24, 24-35; one rock; Oa was darker than Bhs1; Bhs3 had 50/50 Fi/Fr"
"8","42_4_PFM","2019-06-17","JAB","AMP Dissertation","Bimodal podzol",281664.007,4871152.392,NA,NA,"Mixed hardwood",NA,"C","Changed Bhs3 to Bh"
"9","42_4_V4.1","2019-07-01","JAB","JAB Dissertation","Bimodal podzol",281640.507,4871162.898,NA,56.5,"Mixed hardwood","Sunny, blue sky","C","14 ISC collected from mineral horizons (2 each); redox appeared and led to horizon split; 2 rocks in red bag from top of Bhs; rocks in green right side pocket from Bs, left side BC"
"10","42_4_V4.2","2019-06-27","SAD","SAD Thesis","Typical podzol",NA,NA,NA,NA,"Mixed hardwood","Sunny, humid","C","Did not sample Cd for extraction purposes; E horizon broken in pit, only half of pit face had E. This site is a true ""typical"" spodic HPU, need to check how we want to designate. Soil profile dry -- sampled on 6/27 -- rainstorm of 1"" on"
